ticker,company,category,role,industry_class,stage,revenue_purity,valuation_models,valuation_label,model_read,currency,price,marketCap,trailingPE,forwardPE,evToEbitda,ps,pb,revenueGrowth,grossMargins,ebitdaMargins,profitMargins,fetch_error,source_url
SMR,NuScale Power,11. L5 電力供應 / 公用事業 / 核能,Small modular reactor,公用事業 / 資本密集,轉機 / 虧轉盈,低到中,"PE, dividend yield, EV/EBITDA",極度過熱 / priced for perfection,虧損且 PS > 20x，需要高成長與快速轉盈同時成立,USD,12.67,4385160192.0,,-18.907345,-16.948,234.88994,3.452316,-0.958,0.23836,0.0,0.0,,https://finance.yahoo.com/quote/SMR
FCX,Freeport-McMoRan,12. L5 原材料 / 工業氣體 / 電纜,Copper,材料 / 化學品,成熟複利,低到中,"EV/EBITDA, P/B, normalized margin",偏熱,P/B 偏高，需要高 ROIC 或供給緊缺支持,USD,65.71,94462050304.0,34.767197,17.624323,11.564,3.575264,4.841229,0.088,0.38636002,0.37027,0.10344,,https://finance.yahoo.com/quote/FCX
SCCO,Southern Copper,12. L5 原材料 / 工業氣體 / 電纜,Copper,材料 / 化學品,成熟複利,低到中,"EV/EBITDA, P/B, normalized margin",偏熱,材料股 EV/EBITDA 偏高，需要 commodity spread 支持,USD,191.3,159606505472.0,32.368866,29.095146,18.275,10.969896,13.540487,0.362,0.62709,0.60826,0.34131,,https://finance.yahoo.com/quote/SCCO
TECK,Teck Resources,12. L5 原材料 / 工業氣體 / 電纜,Copper / base metals,材料 / 化學品,成熟複利,低到中,"EV/EBITDA, P/B, normalized margin",合理反映,材料股估值未明顯過熱，但需看週期位置,USD,66.16,32411408384.0,24.234434,22.140373,7.424,2.6119275,1.7830343,0.722,0.30913,0.41134998,0.14909,,https://finance.yahoo.com/quote/TECK
BHP,BHP,12. L5 原材料 / 工業氣體 / 電纜,Copper / iron ore / commodities,材料 / 化學品,成熟複利,低到中,"EV/EBITDA, P/B, normalized margin",偏熱,材料股 EV/EBITDA 偏高，需要 commodity spread 支持,USD,88.91,225862090752.0,22.062035,16.713287,17.958,4.183561,4.477289,0.108,0.83085,0.48700002,0.18972999,,https://finance.yahoo.com/quote/BHP
RIO,Rio Tinto,12. L5 原材料 / 工業氣體 / 電纜,Copper / aluminum / commodities,材料 / 化學品,成熟複利,低到中,"EV/EBITDA, P/B, normalized margin",資料不足,材料股需要 mid-cycle EBITDA / ROIC 才能定性,USD,106.39,173016891392.0,17.469622,12.004866,9.466,3.0017853,2.7791855,0.146,0.28124002,0.35194,0.17291,,https://finance.yahoo.com/quote/RIO
NUE,Nucor,12. L5 原材料 / 工業氣體 / 電纜,Steel,材料 / 化學品,成熟複利,低到中,"EV/EBITDA, P/B, normalized margin",資料不足,材料股需要 mid-cycle EBITDA / ROIC 才能定性,USD,250.0,56935235584.0,24.801588,15.8382015,12.651,1.6667223,2.7261624,0.213,0.14062999,0.14502,0.06824,,https://finance.yahoo.com/quote/NUE
STLD,Steel Dynamics,12. L5 原材料 / 工業氣體 / 電纜,Steel,材料 / 化學品,成熟複利,低到中,"EV/EBITDA, P/B, normalized margin",偏熱,材料股 EV/EBITDA 偏高，需要 commodity spread 支持,USD,260.15,37516955648.0,27.853317,15.292361,17.761,1.973305,4.2096148,0.191,0.14038,0.121800005,0.07216,,https://finance.yahoo.com/quote/STLD
AA,Alcoa,12. L5 原材料 / 工業氣體 / 電纜,Aluminum,材料 / 化學品,成熟複利,低到中,"EV/EBITDA, P/B, normalized margin",資料不足,材料股需要 mid-cycle EBITDA / ROIC 才能定性,USD,77.64,20488409088.0,19.907692,11.526334,12.825,1.6189972,3.0015075,-0.052,0.16254,0.13402,0.081709996,,https://finance.yahoo.com/quote/AA
PRY.MI,Prysmian,12. L5 原材料 / 工業氣體 / 電纜,Power cable,材料 / 化學品,成熟複利,低到中,"EV/EBITDA, P/B, normalized margin",偏熱,材料股 EV/EBITDA 偏高，需要 commodity spread 支持,EUR,148.0,43252211712.0,31.422504,25.88784,18.458,2.0980942,6.1464343,0.101,0.38268003,0.12229,0.06626,,https://finance.yahoo.com/quote/PRY.MI
NEX.PA,Nexans,12. L5 原材料 / 工業氣體 / 電纜,Power cable,材料 / 化學品,成熟複利,低到中,"EV/EBITDA, P/B, normalized margin",資料不足,材料股需要 mid-cycle EBITDA / ROIC 才能定性,EUR,158.4,6928083968.0,33.347366,17.39604,11.06,0.88707864,3.466083,,0.11613,0.08335,0.04507,,https://finance.yahoo.com/quote/NEX.PA
NKT.CO,NKT,12. L5 原材料 / 工業氣體 / 電纜,Power cable,材料 / 化學品,成熟複利,低到中,"EV/EBITDA, P/B, normalized margin",偏熱,材料股 EV/EBITDA 偏高，需要 commodity spread 支持,DKK,1025.0,54786711552.0,27.399092,25.611553,77.904,15.252425,3.6059072,0.032,0.33964002,0.19376,0.07767,,https://finance.yahoo.com/quote/NKT.CO
LIN,Linde,12. L5 原材料 / 工業氣體 / 電纜,Industrial gases,材料 / 化學品,成熟複利,低到中,"EV/EBITDA, P/B, normalized margin",偏熱,材料股 EV/EBITDA 偏高，需要 commodity spread 支持,USD,497.69,230105628672.0,33.003315,25.250635,18.699,6.6398973,5.9697967,0.082,0.48766,0.39215,0.20436001,,https://finance.yahoo.com/quote/LIN
AI.PA,Air Liquide,12. L5 原材料 / 工業氣體 / 電纜,Industrial gases,材料 / 化學品,成熟複利,低到中,"EV/EBITDA, P/B, normalized margin",偏熱,材料股 EV/EBITDA 偏高，需要 commodity spread 支持,EUR,178.08,102767697920.0,29.337727,22.902412,15.115,3.8146596,3.9261858,-0.034,0.64175004,0.27835,0.13058,,https://finance.yahoo.com/quote/AI.PA
APD,Air Products,12. L5 原材料 / 工業氣體 / 電纜,Industrial gases,材料 / 化學品,成熟複利,低到中,"EV/EBITDA, P/B, normalized margin",偏熱,材料股 EV/EBITDA 偏高，需要 commodity spread 支持,USD,278.62,62043291648.0,29.32842,19.573488,21.155,4.9778395,3.964428,0.088,0.31983998,0.31111,0.16906999,,https://finance.yahoo.com/quote/APD
4063.T,Shin-Etsu,12. L5 原材料 / 工業氣體 / 電纜,Silicon wafer / semiconductor materials,材料 / 化學品,成熟複利,低到中,"EV/EBITDA, P/B, normalized margin",資料不足,材料股需要 mid-cycle EBITDA / ROIC 才能定性,JPY,7758.0,14405085429760.0,30.768621,23.528341,14.985,5.5964484,3.2264774,0.013,0.34219003,0.34118,0.18433,,https://finance.yahoo.com/quote/4063.T
3436.T,SUMCO,12. L5 原材料 / 工業氣體 / 電纜,Silicon wafer,材料 / 化學品,轉機 / 虧轉盈,低到中,"EV/EBITDA, P/B, normalized margin",資料不足,虧損公司需要 breakeven revenue / cash burn 資料,JPY,3994.0,1396754612224.0,,81.129395,15.985,3.4183912,2.4532402,-0.01,0.107559994,0.26513,-0.056939997,,https://finance.yahoo.com/quote/3436.T
4091.T,Nippon Sanso,12. L5 原材料 / 工業氣體 / 電纜,Industrial gases,材料 / 化學品,成熟複利,低到中,"EV/EBITDA, P/B, normalized margin",資料不足,材料股需要 mid-cycle EBITDA / ROIC 才能定性,JPY,6184.0,2676766015488.0,21.598211,22.346691,10.732,1.9687734,2.1988337,0.075,0.42837003,0.23552999,0.091120005,,https://finance.yahoo.com/quote/4091.T
